iid,id,gender,wave,condtn,match,dec,attr,sinc,intel,fun,amb,shar,like,prob,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,int_corr,samerace,age_o,race_o,age,race,field_cd,goal,go_out,career_c,income,gender_label,match_label
1,1.0,0,1,1,0,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.14,0,27.0,2.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Pas de match
1,1.0,0,1,1,0,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.54,0,22.0,2.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Pas de match
1,1.0,0,1,1,1,1,5.0,8.0,9.0,8.0,5.0,7.0,7.0,,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.16,1,22.0,4.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Match
1,1.0,0,1,1,1,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.61,0,23.0,2.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Match
1,1.0,0,1,1,1,1,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.21,0,24.0,3.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Match
1,1.0,0,1,1,0,0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.25,0,25.0,2.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Pas de match
1,1.0,0,1,1,0,1,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.34,0,30.0,2.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Pas de match
1,1.0,0,1,1,0,0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.5,0,27.0,2.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Pas de match
1,1.0,0,1,1,1,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,0.28,0,28.0,2.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Match
1,1.0,0,1,1,0,1,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.5,2.0,2.0,1.5,1.5,1.5,6.0,8.0,8.0,8.0,7.0,-0.36,0,24.0,2.0,21.0,4.0,1.0,2.0,1.0,2,"69,487.00",Femme,Pas de match
2,2.0,0,1,1,0,0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0,0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.29,1,27.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match
2,2.0,0,1,1,0,0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,4.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.18,1,22.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match
2,2.0,0,1,1,0,0,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.1,0,22.0,4.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match
2,2.0,0,1,1,1,1,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,-0.21,1,23.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Match
2,2.0,0,1,1,0,0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,1,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.32,0,24.0,3.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match
2,2.0,0,1,1,0,0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0,1,7.0,8.0,7.0,5.0,7.0,7.0,7.0,5.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.73,1,25.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match
2,2.0,0,1,1,0,1,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0,0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.6,1,30.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match
2,2.0,0,1,1,0,0,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0,1,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.07,1,27.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match
2,2.0,0,1,1,1,1,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0,1,8.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.11,1,28.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Match
2,2.0,0,1,1,0,1,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,9.0,4.5,0.5,2.5,2.0,0.0,0.5,7.0,5.0,10.0,8.0,3.0,0.39,1,24.0,2.0,24.0,2.0,1.0,1.0,1.0,2,"65,929.00",Femme,Pas de match
3,3.0,0,1,1,0,0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.24,1,27.0,2.0,25.0,2.0,2.0,6.0,1.0,2,,Femme,Pas de match
3,3.0,0,1,1,0,0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.14,1,22.0,2.0,25.0,2.0,2.0,6.0,1.0,2,,Femme,Pas de match
3,3.0,0,1,1,0,0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,0.09,0,22.0,4.0,25.0,2.0,2.0,6.0,1.0,2,,Femme,Pas de match
3,3.0,0,1,1,0,0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,1,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.04,1,23.0,2.0,25.0,2.0,2.0,6.0,1.0,2,,Femme,Pas de match
3,3.0,0,1,1,0,0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,,1,6.0,10.0,8.0,6.0,,,6.0,1.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.14,0,24.0,3.0,25.0,2.0,2.0,6.0,1.0,2,,Femme,Pas de match
3,3.0,0,1,1,0,0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,,1,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.3,1,25.0,2.0,25.0,2.0,2.0,6.0,1.0,2,,Femme,Pas de match
3,3.0,0,1,1,0,0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0,0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,3.5,1.0,3.5,1.0,1.0,0.0,8.0,9.0,8.0,9.0,8.0,-0.26,1,30.0,2.0,25.0,2.0,2.0,6.0,1.0,2,,Femme,Pas de match
